attr_name	display_label	value	field_type
$C.IST	ГОСТ или ТУ		int
$C.PGS	Обрабатываемый материал	Сталь	string
$C.PGS2	Способ обработки	Фрезерование	string
$D.D	Диаметр детали		float
$D.L	Длина детали		float
$D.MAS	Масса детали		float
$D.OB	Обозначение детали	2250-0054	string
$D.SH	Значение шероховатости	1.25	float
$O.C	Цех	1	int
$O.DIN	Диам. инст. наp. обp.	20.1	float
$O.DIV	Диам. инст. вн. обp.	8.4	float
$Z.L	Длина заготовки		float
$Z.B	Ширина заготовки		float
$Z.D	Диаметр заготовки		float
$Z.K	Код заготовки		int
$Z.MAS	Масса заготовки		float
$Z.STS	Толщина стенки заготовки		float
$Z.TW1	Твердость min		int
$Z.TW2	Твердость max		int

